LICENSENO,BUSINESSNAME,DBANAME,COMMENTS,LOCATIONCOMMENTS,ISSDTTM,EXPDTTM,LICSTATUS,LICCAT,LICCATDESC,OPENING,CLOSING,PATRONSOUT,CAPACITY,PRIMAPPLICANT,PHONE,STNO,STNOHI,Address,CITY,STATE,ZIP,Location
LB-101576,"SPEAK EASY CONCEPTS, LLC",NULL,PATIO HOURS: 12 NOON - 2:00 A.M. PATIO CONDITIONS: 1.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS. 2.) PATIO TO BE STAFFED AT ALL TIMES. THE BOARD GRANTED THE PETITION FOR PERMISSION TO PROVIDE BOTTLE SERVICE ON THE LICENSED PREMISES.,ENTRANCE AND EXIT AT 120-124 BOYLSTON PLACE; IN THREE ROOMS  KITCHEN AND TWO STORAGE ROOMS IN BASEMENT  WITH AN EXIT IN ALLEY IN RENSAELLER PLACE AND TO INCLUDE AN OUTDOOR SEASONAL PATIO ON PRIVATE PROPERTY FROM APRIL THROUGH OCTOBER FOR 32 PATRONS.  CAPACITY BREAKDOWN: 507 STANDING; 67 SEATING,11/27/2013 14:59,12/31/2015 0:00,Active,GOPAL,GOP All Alc.,NULL,2:00 AM,2:30 AM,520,"SPEAKEASY CONCEPTS, LLC",NULL,25,,  Boylston PL,Boston,MA,2116,"(42.351899, -71.065829)"
LB-101577,"FROST GROUP, LLC",NULL,NONE,IN ONE ROOM ON THIRD LEVEL WITH MAIN ENTRANCE OFF GROUND LEVEL OF MARKETPLACE CENTER VIA ELEVATOR OR STAIR; EMERGENCY STAIR EXIT NEAR ELEVATOR; SPACE FOR OFFICE  RECEPTION  STORAGE AND PREPARATION.  ADDING BAR SERVICE IN THE FUNCTION ROOM.,11/20/2013 13:28,12/31/2015 0:00,Active,GOPAL,GOP All Alc.,NULL,MIDNIGHT,12:30 AM,200,"FROST GROUP, LLC",NULL,200,,  State ST,Boston,MA,2109,"(42.36003, -71.05319)"
LB-101611,"EMANUEL ENTERPRISES, LLC",NULL,NONE,Entrance on first floor;  one room on first floor with restroom and bar in rear;  one room on second floor with restrooms and bar in rear; egress in rear; storage in basement.  Capacity breakdown: 23 - 1st floor; 26 - 2nd floor.,10/1/2013 23:29,12/31/2015 0:00,Active,GOPMWL,GOP Malt Wine Liq.,NULL,NULL,2:30 AM,49,"EMANUEL ENTERPRISES, LLC",NULL,71,73,  Meridian ST,East Boston,MA,2128,"(42.37195, -71.0388)"
LB-139452,"South End Partners, Inc.",NULL,NONE,On first floor with kitchen to rear. Bar area for approximately 16 patrons. Dining area for approximately 90 patrons. No separation between dining and bar area. Courtyard patio on private property with 40 patrons. Public sidewalk patio for 20 patrons. Both patios with an 11:00 p.m. Closing Hour.,3/12/2015 15:39,12/31/2015 0:00,Active,CV7AL,CV7 All Alc.,NULL,1:00 a.m.,1:30 a.m.,0,"South End Partners, Inc.",(617)308-8607,569,575,  Columbus AV,Roxbury,MA,2118,"(42.34099, -71.08164)"
LB-98778,THE TENNIS AND RACQUET CLUB,NULL,NONE,In two rooms and kitchen on the first floor; one function room on the second floor; one function room on the third floor; two locker rooms and one lounge in basement.,11/27/2013 14:51,12/31/2015 0:00,Active,CLBAL,Clb. All Alc.,NULL,2:00 AM,2:30 AM,272,THE TENNIS AND RAQUET CLUB,NULL,927,939,  Boylston ST,Boston,MA,2115,"(42.34823, -71.08505)"
LB-98779,"ST. BOTOLPH CLUB, INC.",NULL,NONE,Rear emergency exits; in whole of said buiding.  CAPACITY BREAKDOWN: 1ST FL - 105; 2ND FL - 85; 3RD FL - 6; 4TH FL - 6.,11/14/2013 12:42,12/31/2015 0:00,Active,CLBAL,Clb. All Alc.,NULL,1:00 AM,1:30 AM,202,"ST. BOTOLPH CLUB, INC.",NULL,199,,  Commonwealth AV,Boston,MA,2116,"(42.351588, -71.08093)"
LB-98780,ALGONQUIN CLUB OF BOSTON,NULL,NONE,ONE REAR ENTRANCE  PRIVATE ALLEY IN REAR; IN WHOLE OF SAID BUILDING.,11/22/2013 15:39,12/31/2015 0:00,Active,CLBAL,Clb. All Alc.,NULL,1:00 AM,1:30 AM,461,ALGONQUIN CLUB OF BOSTON,NULL,217,,  Commonwealth AV,Boston,MA,2116,"(42.35139, -71.08185)"
LB-98781,HARVARD CLUB OF BOSTON,NULL,NONE,Four rear entrance on Newbury Street; in whole building with 700 capacity at Harvard Hall  351 capacity at assembly   93 capacity on 2nd floor dining  114 capacity at bartlett room  95 capacity at Grill room  and 96 capacity at Boston room.,11/26/2013 12:55,12/31/2015 0:00,Active,CLBAL,Clb. All Alc.,NULL,1:00 AM,1:30 AM,1369,HARVARD CLUB OF BOSTON,(617)536-1260,374,380,  Commonwealth AV,Boston,MA,2215,"(42.34859, -71.08904)"
LB-98782,TRUSTEES OF BOSTON UNIVERSITY,NULL,NONE,In whole of said building except basement.,11/19/2013 11:30,12/31/2015 0:00,Active,CLBAL,Clb. All Alc.,NULL,2:00 AM,2:30 AM,4612,TRUSTEES OF BOSTON UNIVERSITY,(617)353-2748,775,, Commonwealth Av,Boston,MA,2215,"(42.350873, -71.108963)"
LB-98784,HARVARD CLUB OF BOSTON,NULL,NONE,In whole of said premises at function hall club; except for small office space.,11/26/2013 12:52,12/31/2015 0:00,Active,CLBAL,Clb. All Alc.,NULL,1:00 AM,1:30 AM,324,HARVARD CLUB OF BOSTON,NULL,1,,  Federal ST,Boston,MA,2110,"(42.3561, -71.05695)"
LB-98786,SAVIN HILL YACHT CLUB,NULL,,In two rooms and kitchen on the first floor; first floor 98 persons  one function room on the second floor 171 persons. Total capacity of 269.,11/26/2013 10:17,12/31/2015 0:00,Active,CLBAL,Clb. All Alc.,NULL,1:00 AM,1:30 AM,269,SAVIN HILL YACHT CLUB,NULL,400,,  William T Morrissey BL,Dorchester,MA,2125,"(42.30928, -71.044382)"
LB-98787,"UNION CLUB OF BOSTON, INC.",NULL,NONE,Entrance on Park street at the front of bldg: 1st. Floor  2nd floor   3rd floor  4th floor  5th floor and 6th floor for stock room.,11/20/2013 10:20,12/31/2015 0:00,Active,CLBAL,Clb. All Alc.,NULL,1:00 AM,1:30 AM,349,"UNION CLUB OF BOSTON, INC.",NULL,7,8,  Park ST,Boston,MA,2108,"(42.357465, -71.062631)"
